subject,modeldate,party,very_estimate,somewhat_estimate,not_very_estimate,not_at_all_estimate,timestamp
concern-infected,3/29/2020,all,32.5274,37.45335,20.25546,9.067663,02-04-20 17:46
concern-infected,3/28/2020,all,30.97512,37.652,21.01104,9.644611,02-04-20 17:46
concern-economy,3/28/2020,all,55.76489,28.83874,9.314854,5.001129,02-04-20 17:45
concern-infected,3/27/2020,all,30.5966,37.28209,21.37903,9.982054,02-04-20 17:46
concern-economy,3/27/2020,all,55.76489,28.83874,9.314854,5.001129,02-04-20 17:45
concern-economy,3/26/2020,all,55.76489,28.83874,9.314854,5.001129,02-04-20 17:45
concern-infected,3/26/2020,all,30.51298,37.2417,21.47831,10.00302,02-04-20 17:46
concern-economy,3/25/2020,all,54.05219,29.72926,9.848284,5.136967,02-04-20 17:45
concern-infected,3/25/2020,all,30.44253,37.22616,21.52938,10.01975,02-04-20 17:46
concern-infected,3/24/2020,all,29.26733,36.11691,22.96114,10.7774,02-04-20 17:46
concern-economy,3/24/2020,all,54.05219,29.72926,9.848284,5.136967,02-04-20 17:45
concern-economy,3/23/2020,all,52.73412,30.45293,10.28445,5.333936,02-04-20 17:45
concern-infected,3/23/2020,all,27.9404,36.6573,23.26873,11.04683,02-04-20 17:46
concern-infected,3/22/2020,all,27.28671,36.35975,23.72996,11.32055,02-04-20 17:46
